Odkaz,Zápas,Domácí,Hosté,SkóreFT,SkóreHT,Diváků
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1708_Zapis.html,A1A1708,Sparta Praha,Slovácko,1:0,1:0,8362
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1801_Zapis.html,A1A1801,České Budějovice,Bohemians 1905,3:1,2:0,3682
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1802_Zapis.html,A1A1802,Baník Ostrava,Jablonec,2:2,2:1,7102
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1803_Zapis.html,A1A1803,Slovácko,Sigma Olomouc,0:1,0:0,5035
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1804_Zapis.html,A1A1804,Viktoria Plzeň,Dukla Praha,1:1,1:0,6441
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1805_Zapis.html,A1A1805,Hradec Králové,Sparta Praha,1:0,0:0,6300
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1806_Zapis.html,A1A1806,Slavia Praha,Teplice,0:0,0:0,4476
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1807_Zapis.html,A1A1807,Viktoria Žižkov,Mladá Boleslav,1:2,1:1,1856
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1808_Zapis.html,A1A1808,Slovan Liberec,Příbram,2:0,2:0,3965
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1901_Zapis.html,A1A1901,Bohemians 1905,Baník Ostrava,0:1,0:1,3254
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1902_Zapis.html,A1A1902,Dukla Praha,Slovácko,2:0,1:0,1870
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1903_Zapis.html,A1A1903,Jablonec,České Budějovice,1:1,1:1,2865
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1904_Zapis.html,A1A1904,Příbram,Hradec Králové,0:0,0:0,2257
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1905_Zapis.html,A1A1905,Teplice,Slovan Liberec,1:0,0:0,3051
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1906_Zapis.html,A1A1906,Mladá Boleslav,Slavia Praha,3:2,2:1,4350
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1907_Zapis.html,A1A1907,Sigma Olomouc,Viktoria Žižkov,2:1,0:0,5547
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1908_Zapis.html,A1A1908,Sparta Praha,Viktoria Plzeň,1:3,1:2,17895
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2001_Zapis.html,A1A2001,Baník Ostrava,České Budějovice,1:1,0:0,8248
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2002_Zapis.html,A1A2002,Slovácko,Bohemians 1905,3:2,1:1,4876
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2003_Zapis.html,A1A2003,Viktoria Plzeň,Sigma Olomouc,0:4,0:0,7566
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2004_Zapis.html,A1A2004,Hradec Králové,Dukla Praha,0:2,0:0,3799
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2005_Zapis.html,A1A2005,Slavia Praha,Jablonec,0:0,0:0,4867
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2006_Zapis.html,A1A2006,Viktoria Žižkov,Sparta Praha,0:2,0:1,4218
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2007_Zapis.html,A1A2007,Slovan Liberec,Mladá Boleslav,2:1,0:1,4358
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2008_Zapis.html,A1A2008,Příbram,Teplice,0:0,0:0,2168
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2101_Zapis.html,A1A2101,Bohemians 1905,Hradec Králové,0:0,0:0,2542
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2102_Zapis.html,A1A2102,Dukla Praha,Slavia Praha,0:0,0:0,4258
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2103_Zapis.html,A1A2103,Jablonec,Viktoria Plzeň,0:2,0:2,4120
